source_row,program,degree_confer_date,outcome_raw,outcome_report,known_outcome,positive_outcome,employer_raw,employer_report,role_raw,role_report,school_raw,school_report,degree_raw,degree_report,location_raw,state_raw,state_report,has_linkedin,has_li_lookup_date,has_survey_timestamp,has_interaction,has_doc_review_signal,cleanup_flags
629,MS,2026-05-01 00:00:00,Working,Working,True,True,Amazon,Amazon,Software Engineer,Software Engineer,,,,,"Arlington, VA",VA,VA,True,True,True,False,False,
630,MS,2026-05-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T630,2)",,True,True,True,True,True,
631,MS,2026-05-01 00:00:00,Working,Working,True,True,Microsoft,Microsoft,Software Engineer,Software Engineer,,,,,"Redmond, WA",WA,WA,True,True,True,True,True,
632,MS,2026-05-01 00:00:00,Working,Working,True,True,Meta,Meta,Data Engineer,Data Engineer,,,,,"Seattle, WA",WA,WA,True,True,True,True,True,
633,MS,2026-05-01 00:00:00,Working,Working,True,True,Apple,Apple,Software Engineer,Software Engineer,,,,,"Seattle, WA",WA,WA,True,True,True,True,True,
634,MS,2026-05-01 00:00:00,Working,Working,True,True,NVIDIA,NVIDIA,Software Engineer,Software Engineer,,,,,"Seattle, WA",WA,WA,True,False,True,True,False,
635,MS,2026-05-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T635,2)",,True,False,True,False,False,
636,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,True,False,
637,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,True,True,
638,MS,2026-05-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T638,2)",,True,False,True,True,True,
639,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,False,False,
640,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,Capital One,Capital One,Software Engineer Intern,Software Engineer Intern,,,,,"McLean, VA",VA,VA,True,True,True,True,False,
641,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,Klaviyo,Klaviyo,Software Engineer Intern,Software Engineer Intern,,,,,"Boston, MA",MA,MA,True,False,True,True,True,
642,MS,2026-05-01 00:00:00,Working,Working,True,True,Mesta,Mesta,Software Engineer,Software Engineer,,,,,,"=RIGHT(T642,2)",,True,False,True,True,True,working_missing_state
643,MS,2026-05-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T643,2)",,True,True,True,True,True,
644,PhD,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T644,2)",,True,True,True,True,True,
645,PhD,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T645,2)",,True,True,True,False,False,
646,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,False,False,False,True,False,
647,MS,2026-01-01 00:00:00,Searching,Looking,True,False,NASA Langley Research Center,NASA Langley Research Center,Data Visualization/AI Intenr,Data Visualization/AI Intenr,,,,,"Hampton, VA",VA,VA,True,False,True,False,False,
648,MS,2026-01-01 00:00:00,Searching,Looking,True,False,Foresight AI Inc,Foresight AI Inc,ML Software Engineer Intern,ML Software Engineer Intern,,,,,,"=RIGHT(T648,2)",,True,True,True,True,True,
649,Undergraduate,2026-05-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T649,2)",,True,False,True,True,True,
650,MS,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T650,2)",,True,True,True,False,False,
651,MS,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T651,2)",,True,True,True,True,False,
652,PhD,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T652,2)",,True,True,True,True,True,
653,MS,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T653,2)",,True,True,True,True,True,
654,MS,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T654,2)",,True,True,True,True,True,
655,MS,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T655,2)",,True,True,True,False,False,
656,MS,2026-05-01 00:00:00,Continuing Ed,Continuing Education,True,True,,,,,UMass Amherst,UMass Amherst,,,,"=RIGHT(T656,2)",,True,True,True,False,False,
657,MS,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T657,2)",,True,False,True,True,True,
658,MS,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T658,2)",,True,True,True,True,True,
659,PhD,2026-05-01 00:00:00,Unknown,Unknown,False,False,Amazon,Amazon,Applied Scientist Intern,Applied Scientist Intern,,,,,,"=RIGHT(T659,2)",,False,False,True,False,False,
660,MS,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T660,2)",,True,True,True,True,True,
661,MS,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T661,2)",,True,True,True,True,True,
662,MS,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T662,2)",,True,True,True,True,True,
663,MS,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T663,2)",,True,True,True,False,False,
664,MS,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T664,2)",,True,True,True,True,False,
665,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,False,False,
666,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,True,True,
667,MS,2026-05-01 00:00:00,Continuing Ed,Continuing Education,True,True,,,,,"Manning CICS, UMass Amherst",UMass Amherst,,,,"=RIGHT(T667,2)",,True,True,True,False,False,
668,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,False,False,False,False,False,
669,Undergraduate,2025-09-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T669,2)",,True,True,True,False,False,
670,MS,2026-05-01 00:00:00,Searching,Looking,True,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,True,False,
671,Undergraduate,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T671,2)",,True,True,True,True,True,
672,MS,2026-01-01 00:00:00,Continuing Ed,Continuing Education,True,True,NVIDIA,NVIDIA,,,,,,,,"=RIGHT(T672,2)",,True,False,True,True,False,continuing_ed_missing_school
673,Undergraduate,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T673,2)",,True,True,True,False,False,
674,MS,2026-05-01 00:00:00,Searching,Looking,True,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,True,True,
675,Undergraduate,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T675,2)",,True,True,True,False,False,
676,Undergraduate,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T676,2)",,True,True,True,True,False,
677,Undergraduate,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T677,2)",,True,True,True,True,False,
678,PhD,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,False,False,False,False,False,
679,Undergraduate,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T679,2)",,False,False,True,True,False,
680,PhD,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,False,False,False,False,False,
681,PhD,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,False,False,False,False,False,
682,PhD,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,False,False,False,False,False,
683,PhD,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,False,False,False,False,False,
684,MS,2026-05-01 00:00:00,Continuing Ed,Continuing Education,True,True,,,,,UMass Amherst,UMass Amherst,,,,"=RIGHT(T684,2)",,True,True,True,True,True,
685,Undergraduate,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T685,2)",,True,True,True,False,False,
686,Undergraduate,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T686,2)",,True,True,True,False,False,
687,Undergraduate,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T687,2)",,True,True,True,True,True,
